                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91626,                0.61536,                0.97364,                0.94657,                 0.9853,                0.97741,                0.73568,                0.96503,                0.55561,                 1.0349,                0.00439,                0.00439,                0.00439
                     37,                0.88847,                0.59988,                0.94534,                0.95043,                0.98159,                0.97789,                0.79865,                0.80581,                0.49214,                 0.9706,               0.004225,               0.004225,               0.004225
                     38,                0.87217,                0.59719,                0.96095,                0.94074,                0.99381,                0.98109,                0.78899,                0.80549,                0.52055,                0.96059,                0.00406,                0.00406,                0.00406
                     39,                0.86616,                 0.5731,                0.95271,                0.96595,                0.98969,                0.98233,                0.79061,                0.80376,                0.47334,                0.96313,               0.003895,               0.003895,               0.003895
                     40,                0.89346,                0.56391,                0.96737,                0.97017,                0.99167,                0.98399,                0.77325,                0.83926,                 0.4845,                0.98014,                0.00373,                0.00373,                0.00373
                     41,                0.88204,                 0.5778,                0.96538,                0.96395,                 0.9876,                0.98354,                0.75139,                0.89936,                 0.5007,                 1.0217,               0.003565,               0.003565,               0.003565
                     42,                0.88222,                0.55848,                0.96254,                0.96414,                0.99282,                0.97817,                 0.7943,                0.81052,                0.48093,                0.96457,                 0.0034,                 0.0034,                 0.0034
                     43,                0.88892,                0.56036,                0.96584,                0.95433,                0.99137,                0.97713,                0.78243,                0.81991,                0.48723,                0.97605,               0.003235,               0.003235,               0.003235
                     44,                0.90375,                0.57619,                 0.9653,                 0.9685,                0.99205,                0.97766,                0.78296,                 0.8213,                0.45611,                0.96106,                0.00307,                0.00307,                0.00307
                     45,                0.84584,                0.54078,                0.94685,                0.97041,                0.98984,                  0.976,                0.78714,                0.81273,                0.43481,                0.96646,               0.002905,               0.002905,               0.002905
                     46,                 0.8768,                0.53444,                0.96107,                0.97127,                0.99405,                0.97768,                0.78957,                0.80679,                0.44902,                0.95406,                0.00274,                0.00274,                0.00274
                     47,                 0.8688,                0.55303,                0.96051,                0.97072,                0.99382,                0.98084,                0.79238,                0.79926,                  0.446,                0.95678,               0.002575,               0.002575,               0.002575
                     48,                0.85624,                 0.5333,                0.96451,                0.96622,                0.99405,                0.98021,                0.78553,                0.81963,                0.44498,                0.95815,                0.00241,                0.00241,                0.00241
                     49,                0.87646,                0.52996,                0.97915,                0.96576,                0.99076,                 0.9817,                0.77779,                 0.8292,                0.43365,                0.98275,               0.002245,               0.002245,               0.002245
                     50,                 0.8354,                0.51008,                0.95215,                0.96389,                0.99372,                0.97552,                0.79172,                0.78022,                 0.4228,                0.95377,                0.00208,                0.00208,                0.00208
                     51,                0.81031,                0.48016,                0.96037,                0.96895,                0.98993,                0.97901,                0.78259,                0.80582,                0.43612,                 0.9668,               0.001915,               0.001915,               0.001915
                     52,                 0.8061,                0.47063,                0.97338,                0.97088,                0.99405,                0.97652,                 0.7992,                 0.7672,                0.43395,                0.94459,                0.00175,                0.00175,                0.00175
                     53,                0.81155,                0.47996,                0.95857,                0.96766,                  0.989,                0.97431,                0.79281,                  0.762,                0.43251,                0.95311,               0.001585,               0.001585,               0.001585
                     54,                0.79309,                0.46648,                0.97233,                0.97007,                 0.9863,                0.97444,                0.79193,                 0.7613,                0.41482,                0.95165,                0.00142,                0.00142,                0.00142
                     55,                0.79987,                0.45238,                 0.9684,                0.97322,                0.98744,                0.97498,                0.79113,                0.78187,                0.40526,                0.95486,               0.001255,               0.001255,               0.001255
                     56,                0.78198,                0.45914,                0.95595,                0.97233,                0.98895,                0.97403,                0.80021,                0.75431,                0.40263,                0.94214,                0.00109,                0.00109,                0.00109
                     57,                0.78246,                0.44004,                 0.9541,                0.97013,                 0.9893,                0.97436,                0.79877,                0.74946,                 0.4091,                0.93812,               0.000925,               0.000925,               0.000925
                     58,                0.76632,                 0.4383,                0.95551,                 0.9688,                0.98979,                0.97427,                0.79183,                0.77102,                0.40664,                0.94487,                0.00076,                0.00076,                0.00076
                     59,                0.77017,                0.43303,                 0.9465,                0.97061,                0.99021,                0.97477,                 0.8027,                0.74543,                0.39528,                0.93483,               0.000595,               0.000595,               0.000595
                     60,                0.75463,                0.41622,                0.95192,                0.97095,                0.99091,                 0.9755,                0.80626,                0.74934,                0.38658,                0.93229,                0.00043,                0.00043,                0.00043
