                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4706,                 3.7902,                 1.1507,                0.11952,                0.47961,                0.15452,                0.08898,                 1.0882,                 3.7257,                0.95484,                 0.0946,                 0.0006,                 0.0006
                      2,                 1.3232,                  2.642,                 1.0747,                0.05119,                0.21373,                0.05228,                0.01801,                 1.4847,                 3.3753,                 1.1587,               0.088296,              0.0012957,              0.0012957
                      3,                 1.2474,                 2.1111,                  1.059,                0.00517,                0.07285,                0.00166,                0.00053,                 1.3979,                 18.063,                 1.3661,               0.081987,              0.0019868,              0.0019868
                      4,                 1.2068,                 1.8458,                 1.0338,                0.14875,                0.06973,                0.04708,                0.01519,                 1.8703,                 4.2734,                 2.2219,               0.075673,              0.0026733,              0.0026733
                      5,                 1.1818,                 1.6482,                 1.0416,                0.12225,                0.00854,                0.00848,                0.00236,                  3.353,                 6.0502,                 3.2708,               0.069355,              0.0033551,              0.0033551
                      6,                 1.2408,                 1.4922,                 1.0631,                0.00189,                0.00194,                0.00112,                0.00011,                  3.357,                 20.383,                  2.807,               0.063032,              0.0040324,              0.0040324
                      7,                 1.2129,                 1.3536,                 1.0854,                0.00189,                0.00194,                0.00112,                0.00011,                 4.4245,                 227.04,                 5.5284,               0.056705,               0.004705,               0.004705
                      8,                 1.1236,                 1.3211,                 1.0537,                0.79658,                0.11636,                0.15162,                0.08543,                 1.4822,                 3.4833,                 1.5943,               0.050373,              0.0053729,              0.0053729
                      9,                  1.154,                 1.1952,                 1.0658,                0.04202,                 0.3745,                0.14414,                 0.0834,                 1.4483,                 3.4535,                 1.4716,               0.044036,              0.0060363,              0.0060363
                     10,                 1.1161,                 1.1693,                 1.0481,                0.76455,                 0.1457,                0.15239,                0.07548,                 1.5132,                   3.56,                 1.5243,               0.037695,              0.0066951,              0.0066951
                     11,                 1.0942,                 1.0457,                 1.0291,                 0.8414,                 0.1288,                 0.1201,                0.04495,                 2.4954,                 3.2047,                  2.318,               0.031349,              0.0073492,              0.0073492
